Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,LAST_NAME,FIRST_NAME,SP_TITLE
Susan Hutchison,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Advanced,None,On the Ballot,67.31,Yes,,,,,,No,,,,,,,,,S8WA00319,"HUTCHISON, SUSAN",C,2.0,REP,1933255.94,2773.57,1933256.38,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,0.0,1881104.65,WA,0.0,,,,,,23020.0,5497.66,12/31/2018,6555.0,0.0,hutchison, susan,
Keith Swank,WA,U.S. Senate Washington,Senator,Regular,8/7/18,Lost,None,None,6.4,No,,,,,,Yes,,,,,,,,,S8WA00269,"SWANK, KEITH R",C,2.0,REP,19084.0,0.0,19083.0,0.0,0.0,0.0,0.0,7176.0,0.0,1634.0,0.0,0.0,11908.0,WA,0.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,swank, keith r,
Carol Miller,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Advanced,None,On the Ballot,23.81,Yes,,,,,,,Yes,,,,,No,,,H8WV03097,"MILLER, CAROL DEVINE",O,2.0,REP,1943497.82,21684.3,1924905.17,0.0,0.0,18592.65,5400.0,515000.0,75000.0,22700.0,75000.0,509856.85,976288.52,WV,3.0,,,,,,339245.0,6000.0,12/31/2018,0.0,0.0,miller, carol devine,
Marty Gearheart,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,None,None,18.19,No,,,,,,,No,,,,,No,,,H8WV03113,"GEARHEART, MARTY",O,2.0,REP,117313.17,0.0,65348.56,0.0,0.0,51964.61,0.0,60000.0,0.0,0.0,0.0,0.0,53513.17,WV,3.0,,,,,,3800.0,0.0,06/30/2018,0.0,0.0,gearheart, marty,
Rupie Phillips,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,None,None,19.53,No,,,,,,,No,,,,,No,,,H8WV03055,"PHILLIPS, RUPIE",O,2.0,REP,284462.45,0.0,284462.45,0.0,0.0,0.0,0.0,1906.45,0.0,0.0,0.0,1906.45,264056.0,WV,3.0,,,,,,17700.0,0.0,09/30/2018,4900.0,0.0,phillips, rupie,
Ayne Amjad,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,None,None,7.46,No,,,,,,,No,,,,,No,,,H8WV03071,"AMJAD, AYNE",O,2.0,REP,18650.0,0.0,19135.34,0.0,-55.86,2750.0,0.0,15000.0,0.0,0.0,0.0,0.0,3650.0,WV,3.0,,,,,,0.0,0.0,06/30/2018,0.0,0.0,amjad, ayne,
Conrad Lucas,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,None,None,18.07,No,,,,,,,No,,,,,Yes,,,H8WV03105,"LUCAS, CONRAD G. MR. II",O,2.0,REP,407288.0,0.0,406613.15,0.0,0.0,674.85,0.0,235500.0,0.0,0.0,0.0,275007.41,145788.0,WV,3.0,,,,,,26000.0,0.0,12/31/2018,27000.0,0.0,lucas, conrad g. mr. ii,
Patrick Morrisey,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Advanced,None,On the Ballot,34.9,Yes,,Yes,Yes,Yes,,,,,Yes,,Yes,No,,,S8WV00143,"MORRISEY, PATRICK MR",C,2.0,REP,6200876.51,568624.22,6153109.25,0.0,0.0,47768.04,16235.62,548000.0,0.0,508000.0,0.0,40000.0,4325027.61,WV,0.0,,,,,,670363.0,54477.64,12/31/2018,57800.0,0.0,morrisey, patrick mr,
Evan Jenkins,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Lost,None,None,29.21,No,,Yes,No,No,,,,,No,,No,Yes,,,H4WV03070,"JENKINS, EVAN H",I,2.0,REP,1573189.05,0.0,2288012.47,0.0,717360.11,2536.81,0.0,0.0,0.0,0.0,0.0,0.0,1189347.96,WV,3.0,,,,,,381560.0,0.0,12/31/2018,221576.0,43800.0,jenkins, evan h,
Don Blankenship,WV,U.S. Senate West Virginia,Senator,Regular,5/8/18,Lost,None,None,19.97,No,,No,No,No,,,,,No,,No,No,,,S8WV00150,"BLANKENSHIP, DON",C,3.0,CON,4165210.09,0.0,4165209.19,0.0,0.0,0.0,0.0,4135000.0,0.0,27290.1,0.0,0.0,5000.0,WV,0.0,,,,,,0.0,0.0,10/17/2018,0.0,0.0,blankenship, don,
Bryan Steil,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Advanced,None,On the Ballot,51.6,Yes,Yes,,,,,No,,,,,,,,,H8WI01156,"STEIL, BRYAN GEORGE",O,2.0,REP,2314018.67,172954.39,2287662.97,30000.0,0.0,26355.7,795.58,0.0,0.0,0.0,0.0,138455.34,1671550.93,WI,1.0,,,,,,456243.0,10000.0,12/31/2018,2014.04,3400.0,steil, bryan george,
Paul Nehlen,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,None,None,11.1,No,No,,,,,No,,,,,,,,,H6WI01226,"NEHLEN, PAUL III",O,2.0,REP,209606.08,0.0,213032.58,0.0,3426.5,0.0,300.61,32.0,0.0,0.0,0.0,62698.15,204600.7,WI,1.0,,,,,,70.13,0.0,12/31/2018,2000.0,0.0,nehlen, paul iii,
Nick Polce,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,None,None,14.9,No,No,,,,,No,,,,,,,,,H8WI01149,"POLCE, NICK",O,2.0,REP,33623.0,0.0,34262.0,0.0,0.0,4034.0,0.0,17000.0,0.0,5930.0,0.0,24736.0,16823.0,WI,1.0,,,,,,0.0,0.0,12/31/2018,0.0,0.0,polce, nick,
Kevin Steen,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,None,None,10.5,No,No,,,,,Yes,,,,,,,,,H8WI01164,"STEEN, KEVIN ADAM",O,2.0,REP,48894.9,0.0,47141.6,0.0,0.0,1753.3,83.76,9000.0,0.0,9000.0,0.0,0.0,39745.52,WI,1.0,,,,,,0.0,0.0,12/31/2018,6325.0,0.0,steen, kevin adam,
Brad Boivin,WI,U.S. House Wisconsin District 1,Representative,Regular,8/14/18,Lost,None,None,1.5,No,No,,,,,No,,,,,,,,,H8WI01172,"BOIVIN, BRAD",O,2.0,REP,5380.0,0.0,5380.0,44.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5360.0,WI,1.0,,,,,,0.0,0.0,08/15/2018,2700.0,0.0,boivin, brad,
Steve Toft,WI,U.S. House Wisconsin District 3,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,Yes,,,,,,,,,H8WI03103,"TOFT, STEVE",C,2.0,REP,305021.76,0.0,304917.76,0.0,0.0,104.0,6415.42,30000.0,0.0,0.0,0.0,30000.0,253902.34,WI,3.0,,,,,,12000.0,0.0,12/31/2018,0.0,0.0,toft, steve,
Leah Vukmir,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Advanced,None,On the Ballot,49.0,Yes,,,No,No,Yes,Yes,,No,,,,,,,S8WI00224,"VUKMIR, LEAH",C,2.0,REP,5852699.03,437033.83,5810340.33,105776.39,0.0,42360.02,0.0,0.0,0.0,0.0,0.0,0.0,5074342.16,WI,0.0,,,,,,327458.63,10667.41,12/31/2018,96325.0,0.0,vukmir, leah,
Kevin Nicholson,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,None,None,42.9,No,,,Yes,Yes,No,Yes,,Yes,,,,,,,S8WI00216,"NICHOLSON, KEVIN",C,2.0,REP,3893750.0,0.0,3865486.05,0.0,0.0,28265.81,0.0,25000.0,0.0,25000.0,0.0,0.0,3775575.49,WI,0.0,,,,,,41193.0,1059.0,12/31/2018,191563.94,10500.0,nicholson, kevin,
Griffin Jones,WI,U.S. Senate Wisconsin,Senator,Regular,8/14/18,Lost,None,None,2.0,No,,,No,No,No,No,,No,,,,,,,S8WI00232,"JONES, GRIFFIN GILBERT",C,2.0,REP,10318.0,0.0,10317.0,0.0,0.0,0.0,8438.0,0.0,0.0,0.0,0.0,0.0,1879.0,WI,0.0,,,,,,0.0,0.0,08/24/2018,438.0,0.0,jones, griffin gilbert,
